[2020-08-24 09:29:01,010] [autoreload.py:598] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-08-24 09:29:10,523] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/history/?start=1598146150&end=1598232550&m=sum:messages_ready_details_rate HTTP/1.1" 200 23529
[2020-08-24 09:29:10,526] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/history/?start=1598146150&end=1598232550&m=sum:messages_unacknowledged_details_rate HTTP/1.1" 200 23529
[2020-08-24 09:29:10,531] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/history/?start=1598146150&end=1598232550&m=sum:disk_writes_details_rate HTTP/1.1" 200 23529
[2020-08-24 09:29:10,544] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/history/?start=1598146150&end=1598232550&m=sum:messages_details_rate HTTP/1.1" 200 23529
[2020-08-24 09:29:10,546] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/history/?start=1598146150&end=1598232550&m=sum:disk_reads_details_rate HTTP/1.1" 200 23529
[2020-08-24 09:29:10,698] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/monitor/?middleware_name=RABBITMQ_10.10.10.130_15672 HTTP/1.1" 200 10759
[2020-08-24 09:29:15,295] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/monitor/?middleware_name=RABBITMQ_10.10.10.130_15672 HTTP/1.1" 200 10759
[2020-08-24 09:29:15,341] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/history/?start=1598146155&end=1598232555&m=sum:disk_reads_details_rate HTTP/1.1" 200 23529
[2020-08-24 09:29:15,348] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/history/?start=1598146155&end=1598232555&m=sum:messages_details_rate HTTP/1.1" 200 23529
[2020-08-24 09:29:15,362] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/history/?start=1598146155&end=1598232555&m=sum:messages_ready_details_rate HTTP/1.1" 200 23529
[2020-08-24 09:29:15,363] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/history/?start=1598146155&end=1598232555&m=sum:disk_writes_details_rate HTTP/1.1" 200 23529
[2020-08-24 09:29:15,370] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/history/?start=1598146155&end=1598232555&m=sum:messages_unacknowledged_details_rate HTTP/1.1" 200 23529
[2020-08-24 09:29:30,918] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/monitor/?middleware_name=WEBLOGIC_10.10.10.130_9004 HTTP/1.1" 200 881
[2020-08-24 09:29:30,966] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/history/?start=1598146170&end=1598232570&m=sum:SystemLoadAverage HTTP/1.1" 200 24799
[2020-08-24 09:29:30,971] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/history/?start=1598146170&end=1598232570&m=sum:SystemCpuLoad HTTP/1.1" 200 45968
[2020-08-24 09:30:10,295] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/monitor/?middleware_name=REDIS_10.10.10.130_6379 HTTP/1.1" 200 5624
[2020-08-24 09:30:10,304] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/history/?start=1598146210&end=1598232610&m=sum:instantaneous_input_kbps HTTP/1.1" 200 24909
